CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Credit_Limit,Test_colum
768805383.0,Existing Customer,45.0,M,3.0,High School,Married,$60K - $80K,Blue,39.0,5.0,1.0,3.0,12691.0,777.0,11914.0,1.335,1144.0,42.0,1.625,0.061,9.3448e-05,0.99991,12691.0,77
818770008.0,Existing Customer,49.0,F,5.0,Graduate,Single,Less than $40K,Blue,44.0,6.0,1.0,2.0,8256.0,864.0,7392.0,1.541,1291.0,33.0,3.714,0.105,5.6861e-05,0.99994,8256.0,74
713982108.0,Existing Customer,51.0,M,3.0,Graduate,Married,$80K - $120K,Blue,36.0,4.0,1.0,0.0,3418.0,0.0,3418.0,2.594,1887.0,20.0,2.333,0.0,2.1081e-05,0.99998,3418.0,53
769911858.0,Existing Customer,40.0,F,4.0,High School,Unknown,Less than $40K,Blue,34.0,3.0,4.0,1.0,3313.0,2517.0,796.0,1.405,1171.0,20.0,2.333,0.76,0.00013366,0.99987,3313.0,98
709106358.0,Existing Customer,40.0,M,3.0,Uneducated,Married,$60K - $80K,Blue,21.0,5.0,1.0,0.0,4716.0,0.0,4716.0,2.175,816.0,28.0,2.5,0.0,2.1676e-05,0.99998,4716.0,55
713061558.0,Existing Customer,44.0,M,2.0,Graduate,Married,$40K - $60K,Blue,36.0,3.0,1.0,2.0,4010.0,1247.0,2763.0,1.376,1088.0,24.0,0.846,0.311,5.5077e-05,0.99994,4010.0,54
810347208.0,Existing Customer,51.0,M,4.0,Unknown,Married,$120K +,Gold,46.0,6.0,1.0,3.0,34516.0,2264.0,32252.0,1.975,1330.0,31.0,0.722,0.066,0.00012303,0.99988,34516.0,75
818906208.0,Existing Customer,32.0,M,0.0,High School,Unknown,$60K - $80K,Silver,27.0,2.0,2.0,2.0,29081.0,1396.0,27685.0,2.204,1538.0,36.0,0.714,0.048,8.5795e-05,0.99991,29081.0,45
710930508.0,Existing Customer,37.0,M,3.0,Uneducated,Single,$60K - $80K,Blue,36.0,5.0,2.0,0.0,22352.0,2517.0,19835.0,3.355,1350.0,24.0,1.182,0.113,4.4796e-05,0.99996,22352.0,24
719661558.0,Existing Customer,48.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,3.0,3.0,11656.0,1677.0,9979.0,1.524,1441.0,32.0,0.882,0.144,0.00030251,0.9997,11656.0,93
708790833.0,Existing Customer,42.0,M,5.0,Uneducated,Unknown,$120K +,Blue,31.0,5.0,3.0,2.0,6748.0,1467.0,5281.0,0.831,1201.0,42.0,0.68,0.217,0.00019094,0.99981,6748.0,71
710821833.0,Existing Customer,65.0,M,1.0,Unknown,Married,$40K - $60K,Blue,54.0,6.0,2.0,3.0,9095.0,1587.0,7508.0,1.433,1314.0,26.0,1.364,0.174,0.00019751,0.9998,9095.0,76
710599683.0,Existing Customer,56.0,M,1.0,College,Single,$80K - $120K,Blue,36.0,3.0,6.0,0.0,11751.0,0.0,11751.0,3.397,1539.0,17.0,3.25,0.0,4.7799e-05,0.99995,11751.0,94
816082233.0,Existing Customer,35.0,M,3.0,Graduate,Unknown,$60K - $80K,Blue,30.0,5.0,1.0,3.0,8547.0,1666.0,6881.0,1.163,1311.0,33.0,2.0,0.195,9.6126e-05,0.9999,8547.0,7
712396908.0,Existing Customer,57.0,F,2.0,Graduate,Married,Less than $40K,Blue,48.0,5.0,2.0,2.0,2436.0,680.0,1756.0,1.19,1570.0,29.0,0.611,0.279,0.00011382,0.99989,2436.0,96
714885258.0,Existing Customer,44.0,M,4.0,Unknown,Unknown,$80K - $120K,Blue,37.0,5.0,1.0,2.0,4234.0,972.0,3262.0,1.707,1348.0,27.0,1.7,0.23,6.3492e-05,0.99994,4234.0,78
709967358.0,Existing Customer,48.0,M,4.0,Post-Graduate,Single,$80K - $120K,Blue,36.0,6.0,2.0,3.0,30367.0,2362.0,28005.0,1.708,1671.0,27.0,0.929,0.078,0.00023623,0.99976,30367.0,90
753327333.0,Existing Customer,41.0,M,3.0,Unknown,Married,$80K - $120K,Blue,34.0,4.0,4.0,1.0,13535.0,1291.0,12244.0,0.653,1028.0,21.0,1.625,0.095,0.00014953,0.99985,13535.0,46
806160108.0,Existing Customer,61.0,M,1.0,High School,Married,$40K - $60K,Blue,56.0,2.0,2.0,3.0,3193.0,2517.0,676.0,1.831,1336.0,30.0,1.143,0.788,0.00017468,0.99983,3193.0,12
709327383.0,Existing Customer,45.0,F,2.0,Graduate,Married,Unknown,Blue,37.0,6.0,1.0,2.0,14470.0,1157.0,13313.0,0.966,1207.0,21.0,0.909,0.08,5.5077e-05,0.99994,14470.0,18
806165208.0,Existing Customer,47.0,M,1.0,Doctorate,Divorced,$60K - $80K,Blue,42.0,5.0,2.0,0.0,20979.0,1800.0,19179.0,0.906,1178.0,27.0,0.929,0.086,5.703e-05,0.99994,20979.0,67
708508758.0,Attrited Customer,62.0,F,0.0,Graduate,Married,Less than $40K,Blue,49.0,2.0,3.0,3.0,1438.3,0.0,1438.3,1.047,692.0,16.0,0.6,0.0,0.99616,0.0038363,1438.3,94
784725333.0,Existing Customer,41.0,M,3.0,High School,Married,$40K - $60K,Blue,33.0,4.0,2.0,1.0,4470.0,680.0,3790.0,1.608,931.0,18.0,1.571,0.152,6.9242e-05,0.99993,4470.0,70
811604133.0,Existing Customer,47.0,F,4.0,Unknown,Single,Less than $40K,Blue,36.0,3.0,3.0,2.0,2492.0,1560.0,932.0,0.573,1126.0,23.0,0.353,0.626,0.00020735,0.99979,2492.0,93
789124683.0,Existing Customer,54.0,M,2.0,Unknown,Married,$80K - $120K,Blue,42.0,4.0,2.0,3.0,12217.0,0.0,12217.0,1.075,1110.0,21.0,0.75,0.0,0.00021042,0.99979,12217.0,98
771071958.0,Existing Customer,41.0,F,3.0,Graduate,Single,Less than $40K,Blue,28.0,6.0,1.0,2.0,7768.0,1669.0,6099.0,0.797,1051.0,22.0,0.833,0.215,5.7151e-05,0.99994,7768.0,23
720466383.0,Existing Customer,59.0,M,1.0,High School,Unknown,$40K - $60K,Blue,46.0,4.0,1.0,2.0,14784.0,1374.0,13410.0,0.921,1197.0,23.0,1.3,0.093,5.0256e-05,0.99995,14784.0,49
804424383.0,Existing Customer,63.0,M,1.0,Unknown,Married,$60K - $80K,Blue,56.0,3.0,3.0,2.0,10215.0,1010.0,9205.0,0.843,1904.0,40.0,1.0,0.099,0.00018558,0.99981,10215.0,70
718813833.0,Existing Customer,44.0,F,3.0,Uneducated,Single,Unknown,Blue,34.0,5.0,2.0,2.0,10100.0,0.0,10100.0,0.525,1052.0,18.0,1.571,0.0,0.00012144,0.99988,10100.0,51
806624208.0,Existing Customer,47.0,M,4.0,High School,Married,$40K - $60K,Blue,42.0,6.0,0.0,0.0,4785.0,1362.0,3423.0,0.739,1045.0,38.0,0.9,0.285,7.6642e-06,0.99999,4785.0,9
778348233.0,Existing Customer,53.0,M,3.0,Unknown,Married,$80K - $120K,Blue,33.0,3.0,2.0,3.0,2753.0,1811.0,942.0,0.977,1038.0,25.0,2.571,0.658,0.00021834,0.99978,2753.0,79
712991808.0,Existing Customer,53.0,M,2.0,Uneducated,Married,$60K - $80K,Blue,48.0,2.0,5.0,1.0,2451.0,1690.0,761.0,1.323,1596.0,26.0,1.6,0.69,0.00012458,0.99988,2451.0,66
709029408.0,Existing Customer,41.0,M,4.0,Graduate,Married,$60K - $80K,Blue,36.0,4.0,1.0,2.0,8923.0,2517.0,6406.0,1.726,1589.0,24.0,1.667,0.282,5.7762e-05,0.99994,8923.0,6
788658483.0,Existing Customer,53.0,F,2.0,College,Married,Less than $40K,Blue,38.0,5.0,2.0,3.0,2650.0,1490.0,1160.0,1.75,1411.0,28.0,1.0,0.562,0.00018612,0.99981,2650.0,99
787937058.0,Existing Customer,58.0,M,0.0,Graduate,Married,$80K - $120K,Blue,49.0,6.0,2.0,2.0,12555.0,1696.0,10859.0,0.519,1291.0,24.0,0.714,0.135,9.7673e-05,0.9999,12555.0,81
715318008.0,Existing Customer,55.0,F,1.0,College,Single,Less than $40K,Blue,36.0,4.0,2.0,1.0,3520.0,1914.0,1606.0,0.51,1407.0,43.0,0.483,0.544,6.2639e-05,0.99994,3520.0,62
713962233.0,Existing Customer,55.0,F,3.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,2.0,3.0,3035.0,2298.0,737.0,1.724,1877.0,37.0,1.176,0.757,0.00019864,0.9998,3035.0,78
785432733.0,Existing Customer,42.0,F,4.0,High School,Married,Less than $40K,Gold,36.0,2.0,3.0,3.0,15433.0,0.0,15433.0,0.865,966.0,22.0,1.2,0.0,0.00035532,0.99964,15433.0,1
715190283.0,Existing Customer,57.0,F,1.0,Graduate,Unknown,$40K - $60K,Blue,49.0,3.0,3.0,2.0,3672.0,886.0,2786.0,1.32,1464.0,28.0,0.556,0.241,0.00016883,0.99983,3672.0,47
708300483.0,Attrited Customer,66.0,F,0.0,Doctorate,Married,Unknown,Blue,56.0,5.0,4.0,3.0,7882.0,605.0,7277.0,1.052,704.0,16.0,0.143,0.077,0.9978,0.00219708,7882.0,12
827111283.0,Existing Customer,45.0,M,3.0,Graduate,Single,$80K - $120K,Blue,41.0,2.0,2.0,2.0,32426.0,578.0,31848.0,1.042,1109.0,28.0,0.474,0.018,0.00011811,0.99988,32426.0,89
758551608.0,Existing Customer,51.0,M,2.0,Unknown,Married,$40K - $60K,Blue,44.0,4.0,1.0,0.0,6205.0,2204.0,4001.0,0.803,1347.0,28.0,0.556,0.355,2.2331e-05,0.99998,6205.0,33
773146383.0,Existing Customer,50.0,F,1.0,College,Single,$40K - $60K,Silver,43.0,3.0,2.0,3.0,17304.0,2517.0,14787.0,1.449,1756.0,33.0,1.2,0.145,0.00015785,0.99984,17304.0,59
778493808.0,Existing Customer,49.0,M,3.0,High School,Married,$60K - $80K,Blue,37.0,5.0,2.0,1.0,3906.0,0.0,3906.0,1.214,1756.0,32.0,1.0,0.0,6.9242e-05,0.99993,3906.0,62
