Credit_Limit,Test_colum
12691.0,77
8256.0,74
3418.0,53
3313.0,98
4716.0,55
4010.0,54
34516.0,75
29081.0,45
22352.0,24
11656.0,93
6748.0,71
9095.0,76
11751.0,94
8547.0,7
2436.0,96
4234.0,78
30367.0,90
13535.0,46
3193.0,12
14470.0,18
20979.0,67
1438.3,94
4470.0,70
2492.0,93
12217.0,98
7768.0,23
14784.0,49
10215.0,70
10100.0,51
4785.0,9
2753.0,79
2451.0,66
8923.0,6
2650.0,99
12555.0,81
3520.0,62
3035.0,78
15433.0,1
3672.0,47
7882.0,12
32426.0,89
6205.0,33
17304.0,59
3906.0,62
9830.0,72
34516.0,9
2283.0,65
2548.0,0
19458.0,52
4745.0,38
2622.0,3
1438.3,26
3171.0,68
19763.0,43
15769.0,7
3298.0,2
2802.0,29
4458.0,31
6273.0,56
3336.0,87
3436.0,85
34516.0,89
5926.0,34
23957.0,42
14734.0,39
34516.0,72
6584.0,5
2084.0,84
1687.0,19
25300.0,18
34516.0,61
2216.0,13
2910.0,45
22913.0,91
24312.0,75
5272.0,10
7000.0,32
7038.0,77
2536.0,90
28904.0,53
8567.0,61
34516.0,90
2158.0,99
10133.0,17
34516.0,20
3085.0,59
19040.0,9
4026.0,52
12756.0,17
5266.0,74
9930.0,26
31302.0,15
6576.0,50
2664.0,52
2535.0,22
1709.0,64
3454.0,26
3789.0,74
9689.0,3
5449.0,40
23032.0,70
34516.0,96
2940.0,83
3031.0,0
1862.0,84
8358.0,48
34516.0,62
14450.0,5
1438.3,24
33791.0,39
8466.0,30
15088.0,87
3263.0,53
1494.0,12
13551.0,68
18886.0,58
11976.0,88
9964.0,46
24159.0,66
5362.0,43
34516.0,16
3174.0,20
12262.0,51
3788.0,6
34516.0,50
2926.0,82
32090.0,29
11669.0,94
13532.0,41
11888.0,21
2393.0,19
6111.0,70
19270.0,72
3710.0,97
3235.0,67
11749.0,63
7753.0,74
10408.0,44
3967.0,33
6205.0,55
8025.0,11
9036.0,8
14926.0,3
6335.0,47
14979.0,4
2732.0,6
2250.0,20
10916.0,86
5349.0,69
9366.0,8
21617.0,61
13860.0,19
18386.0,37
2405.0,50
2154.0,19
2038.0,74
8135.0,38
9364.0,37
32643.0,94
3195.0,99
2852.0,85
4224.0,61
20459.0,54
3482.0,92
3065.0,67
2185.0,90
1611.0,28
2822.0,94
32975.0,54
1438.3,61
15875.0,65
6703.0,36
3212.0,28
34516.0,53
9797.0,7
10400.0,6
26792.0,88
3006.0,96
19482.0,43
3356.0,11
5771.0,56
11106.0,97
2890.0,32
3380.0,30
21331.0,16
12860.0,42
6278.0,9
1438.3,13
9355.0,57
20758.0,98
14612.0,58
27259.0,96
6347.0,1
21592.0,60
3449.0,82
6028.0,59
18214.0,25
16393.0,84
1438.3,65
7871.0,69
5288.0,61
11376.0,28
12302.0,42
34516.0,57
34516.0,73
10514.0,40
1438.3,37
1438.3,92
2619.0,22
24407.0,15
2377.0,12
